abbrev	brief	name
TCGA-LAML	Leukemia	Acute Myeloid Leukemia
TCGA-ACC	ACC	Adrenocortical carcinoma
TCGA-BLCA	Bladder 	Bladder Urothelial Carcinoma
TCGA-LGG	Brain Glioma	Brain Lower Grade Glioma
TCGA-BRCA	Breast	Breast invasive carcinoma
TCGA-CESC	Cervical 	Cervical squamous cell carcinoma and endocervic
TCGA-CHOL	Cholangiocarcinoma	Cholangiocarcinoma
TCGA-LCML	eukemia	Chronic Myelogenous Leukemia
TCGA-COAD	Colon	Colon adenocarcinoma
TCGA-CNTL	Controls	Controls
TCGA-ESCA	Esophageal 	Esophageal carcinoma
TCGA-FPPP	FFPE Pilot Phase II	FFPE Pilot Phase II
TCGA-GBM	Glioblastoma	Glioblastoma multiforme
TCGA-HNSC	Head and Nec	Head and Neck squamous cell carcinoma
TCGA-KICH	Kidney	Kidney Chromophobe
TCGA-KIRC	Kidney clear cell	Kidney renal clear cell carcinoma
TCGA-KIRP	Kidney papillary cell	Kidney renal papillary cell carcinoma	
TCGA-LIHC	Liver	Liver hepatocellular carcinoma
TCGA-LUAD	Lung adeno	Lung adenocarcinoma
TCGA-LUSC	Lung SCC	Lung squamous cell carcinoma
TCGA-DLBC	B-cell Lymphoma	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
TCGA-MESO	Mesothelioma	Mesothelioma
TCGA-MISC	Miscellaneous	Miscellaneous
TCGA-OV	Ovarian	Ovarian serous cystadenocarcinoma
TCGA-PAAD	Pancreatic	Pancreatic adenocarcinoma
TCGA-PCPG	Adrenal	Pheochromocytoma and Paraganglioma
TCGA-PRAD	Prostat	Prostate adenocarcinoma
TCGA-READ	Rectum	Rectum adenocarcinoma
TCGA-SARC	Sarcoma	Sarcoma
TCGA-SKCM	Melanoma	Skin Cutaneous Melanoma
TCGA-STAD	Stomach	Stomach adenocarcinoma
TCGA-TGCT	Testicula	Testicular Germ Cell Tumors
TCGA-THYM	Thymoma	Thymoma
TCGA-THCA	Thyroid	Thyroid carcinoma
TCGA-UCS	Uterin	Uterine Carcinosarcoma
TCGA-UCEC	Uterine Corpus	Uterine Corpus Endometrial Carcinoma
TCGA-UVM	Uveal Melanoma	Uveal Melanoma
